date,temperature,precipitation
2015-01-15,-2.5,81.2
2015-02-15,-2.3,89.5
2015-03-15,4.1,54.3
2015-04-15,10.0,66.5
2015-05-15,14.6,51.3
2015-06-15,18.8,63.9
2015-07-15,22.8,66.0
2015-08-15,21.2,48.6
2015-09-15,18.4,91.0
2015-10-15,11.7,49.4
2015-11-15,6.4,107.3
2015-12-15,-0.6,74.3
2016-01-15,-3.0,75.9
2016-02-15,0.0,74.5
2016-03-15,3.1,28.9
2016-04-15,9.7,42.5
2016-05-15,16.2,68.1
2016-06-15,19.2,63.4
2016-07-15,23.6,40.5
2016-08-15,22.3,69.5
2016-09-15,17.9,46.3
2016-10-15,12.7,102.3
2016-11-15,4.3,32.8
2016-12-15,1.2,46.2
2017-01-15,-1.2,43.5
2017-02-15,-2.0,128.0
2017-03-15,3.9,60.6
2017-04-15,10.1,45.7
2017-05-15,14.8,39.1
2017-06-15,20.4,23.0
2017-07-15,24.3,45.0
2017-08-15,22.4,95.5
2017-09-15,18.4,13.9
2017-10-15,13.5,73.0
2017-11-15,5.1,55.5
2017-12-15,0.8,52.4
2018-01-15,-1.3,106.4
2018-02-15,-1.4,58.0
2018-03-15,3.9,57.4
2018-04-15,10.1,55.3
2018-05-15,15.2,66.5
2018-06-15,21.0,65.8
2018-07-15,22.1,60.4
2018-08-15,23.4,84.9
2018-09-15,17.0,30.0
2018-10-15,13.4,69.9
2018-11-15,6.2,73.3
2018-12-15,-0.0,44.8
2019-01-15,-2.1,107.0
2019-02-15,-1.7,18.2
2019-03-15,3.3,62.1
2019-04-15,10.3,78.1
2019-05-15,16.6,59.8
2019-06-15,20.1,62.3
2019-07-15,22.9,3.5
2019-08-15,22.9,35.0
2019-09-15,18.4,32.2
2019-10-15,11.0,34.7
2019-11-15,6.5,69.5
2019-12-15,1.2,10.0
2020-01-15,-1.9,50.6
2020-02-15,-0.2,66.9
2020-03-15,3.1,75.6
2020-04-15,9.4,67.0
2020-05-15,15.9,60.5
2020-06-15,19.4,60.2
2020-07-15,22.2,56.3
2020-08-15,23.5,64.3
2020-09-15,18.7,71.3
2020-10-15,11.9,75.3
2020-11-15,5.0,94.8
2020-12-15,1.9,93.9
2021-01-15,-1.6,49.5
2021-02-15,-1.7,61.1
2021-03-15,4.0,55.7
2021-04-15,9.5,106.8
2021-05-15,15.0,89.2
2021-06-15,19.4,50.7
2021-07-15,23.6,90.2
2021-08-15,23.9,65.2
2021-09-15,19.6,53.5
2021-10-15,12.1,41.7
2021-11-15,4.5,64.2
2021-12-15,1.3,29.5
2022-01-15,-2.0,67.7
2022-02-15,1.0,105.0
2022-03-15,5.6,75.9
2022-04-15,11.3,16.7
2022-05-15,15.7,36.7
2022-06-15,19.1,57.4
2022-07-15,22.1,56.4
2022-08-15,23.1,79.0
2022-09-15,19.9,4.4
2022-10-15,14.0,79.1
2022-11-15,6.9,48.4
2022-12-15,-0.3,73.3
2023-01-15,-2.3,69.9
2023-02-15,0.8,93.5
2023-03-15,5.7,23.9
2023-04-15,11.5,64.7
2023-05-15,15.4,30.8
2023-06-15,21.5,13.6
2023-07-15,24.4,44.5
2023-08-15,23.5,62.2
2023-09-15,18.1,81.0
2023-10-15,12.3,0.0
2023-11-15,5.3,97.9
2023-12-15,-0.3,46.8
2024-01-15,-2.4,91.6
2024-02-15,0.6,104.1
2024-03-15,3.7,92.4
2024-04-15,11.2,0.0
2024-05-15,16.3,47.4
2024-06-15,19.3,56.0
2024-07-15,25.1,42.0
2024-08-15,24.0,35.3
2024-09-15,18.5,92.4
2024-10-15,11.9,26.3
2024-11-15,5.0,55.1
2024-12-15,1.0,77.9
